name,operator,product,man_made,industrial,landuse,lon,lat
Pepsi Cola Bottling Company of Houghton,,,,,,-88.5699,47.1117
Pepsi Seven-Up Bottling,,,,,,-104.7347,41.1284
Pepsi-Cola Bottling Co,,,,,,-108.0031,36.8058
Pepsi-Cola Bottling Company of Central Virginia,,,,,,-78.4835,38.0664
Pepsi-Cola Bottling Plant,,,,,,-84.5246,38.0511
Philadelphia Coca-Cola Bottling Co.,,,,,industrial,-75.1117,40.007
Poland Spring Bottling Center,,,,,,-70.3551,44.0318
Poland Spring Bottling Plant,,,,,,-70.158,44.9444
Portland Bottling Company,,,,,,-122.6526,45.524
Portland Bottling Company,,,,,,-122.6528,45.5247
Rock Springs Bottling Plant,,,,,,-89.0271,39.824
Spartanburg Coca-Cola Bottling Company,,,,,,-81.9444,34.9457
Swire Coca-Cola Bottling Co,,,,,,-123.0589,44.0869
The Bottling Works,,,,,,-78.7514,39.3388
Trenton Coca-Cola Bottling,,,,,,-93.6112,40.095
Viking Coca-Cola Bottling Company,,,,,,-95.7815,44.4423
