key,value
athome_2024_busd,83.8
ooh_2024_busd,14.59
total_2024_busd,98.39
forecast_year,2030
forecast_busd,106.61
cagr_hist_pct,7.2
cagr_hist_span,2018-2024
cagr_fwd_pct,4.1
cagr_fwd_span,2024-2030
source,"Statista Market Insights (Catalyst), upd 03/2026"
