brand,brand_username,post_url,post_date,likes_count,comments_count,caption,hashtags
Alani Nu,alaninutrition,https://www.instagram.com/alaninutrition/p/DNBPzEQpReS/,2025-08-06,65000.0,27000.0,"🍏 ALANI NU WITCH’S BREW GIVEAWAY 🍏  (GIVEAWAY CLOSED)

Grab your ghouls — it’s GIVEAWAY time! 🦋🧙‍♀️10 lucky followers will win a bundle of our most coveted fall flavor: Witch’s Brew! Each bundle includes a 12-pack of Witch’s Brew Energy and our NEW 30-serve Witch’s Brew Pre-Workout+ 💜🍏

HOW TO ENTER:
🕸️ LIKE this post & tag your bestie!
🕸️ Make sure you both FOLLOW @AlaniNutrition!
🕸️ Share to your STORY for a bonus entry!

Giveaway ends on 08/07/2025 at 12:00 PM EST. Must be 18+ and a US legal resident to enter. This giveaway is in no way affiliated with Instagram. Good luck!

Note: Winners will be contacted directly via the @AlaniNutrition Instagram account - No other accounts are represented by Alani Nutrition.

Go to https://www.alaninu.com/giveaway to see all Official Rules to enter! NO PURCHASE NECESSARY TO ENTER OR WIN. A PURCHASE DOES NOT INCREASE YOUR CHANCES OF WINNING. VOID ELSEWHERE AND WHEREVER PROHIBITED. Sponsor: Alani Nutrition LLC.",
Alani Nu,alaninutrition,https://www.instagram.com/alaninutrition/p/DQmhaTckVTw/,2025-11-03,70000.0,1466.0,"WINTER WONDERLAND IS BACK — new look & taste! ❄️☃️🦩​

With ribbons of cranberry & sugar plum, this season’s hottest sip returns 11.05 🌴💝​",
Alani Nu,alaninutrition,https://www.instagram.com/alaninutrition/p/DQrq_tCESHu/,2025-11-05,33000.0,8069.0,"☃️ ALANI NU WINTER WONDERLAND GIVEAWAY ☃️ ​ (GIVEAWAY CLOSED)

Get ready to unwrap our newest seasonal sip! 💝 10 lucky followers will win our newest Winter Wonderland bundle! ❄️ Each bundle includes a 12-pack of Winter Wonderland Energy & a 30-serve tub of Winter Wonderland Pre-Workout+ 🦩🌴 ​
​
HOW TO ENTER: ​
🪩 LIKE this post & tag your bestie! ​
🪩 Make sure you both FOLLOW @AlaniNutrition! ​
🪩 Share to your STORY for a bonus entry! ​
​
Giveaway ends on 11/06/2025 at 12:00 PM EST. Must be 18+ and a US legal resident to enter. This giveaway is in no way affiliated with Instagram. Good luck! ​
Note: Winners will be contacted directly via the @AlaniNutrition Instagram account - No other accounts are represented by Alani Nutrition. ​
Go to https://www.alaninu.com/giveaway to see all Official Rules to enter! NO PURCHASE NECESSARY TO ENTER OR WIN. A PURCHASE DOES NOT INCREASE YOUR CHANCES OF WINNING. VOID ELSEWHERE AND WHEREVER PROHIBITED. Sponsor: Alani Nutrition, LLC.",
Alani Nu,alaninutrition,https://www.instagram.com/alaninutrition/p/DVMECWKkfts/,2026-02-25,54000.0,28000.0,"🍋‍🟩 ALANI NU LIME SLUSH ENERGY GIVEAWAY 🍋‍🟩 (GIVEAWAY CLOSED)

Spring just got SWEETER 🏄‍♀️ We’ve officially entered a slushie state of mind with Lime Slush Energy, and we’re giving away 75 bundles made to fuel your next escape 👙🌴

☀️ 25 Grand Prize Winners will receive an AWAY™ Suitcase, Passport Cover, & one 12pack of each of our four Alani Slush Energy Flavors
☀️ 25 VIP Prize Winners will receive a BrüMate™ Rolling Cooler & one 12pack of each of our four Alani Slush Energy Flavors
☀️ 25 Energy Winners will receive one 12pack of each of our four Alani Slush Energy Flavors

Your getaway starts here, bestie 🍋‍🟩👀

HOW TO ENTER:
🧊 Like this post & tag your destination trip-lovin’ bestie
🧊 Follow @AlaniNutrition
🧊 Share to your story for a bonus entry

Next stop: SLUSH FALLS✨🗺️

Giveaway ends on 2/26/26 at 12:01 PM EST. Must be 18+ and a US legal resident to enter. This giveaway is in no way affiliated with Instagram. Good luck! Note: Winners will be contacted directly via the @AlaniNutrition Instagram account – No other accounts are represented by Alani Nutrition.

Go to alaninu.com/blogs/alani-nu-giveaways/alani-nu-lime-slush-energy-giveaway to see all Official Rules to enter! NO PURCHASE NECESSARY TO ENTER OR WIN. A PURCHASE DOES NOT INCREASE YOUR CHANCES OF WINNING. VOID ELSEWHERE AND WHEREVER PROHIBITED. Sponsor: Alani Nutrition, LLC.",#1
Alani Nu,alaninutrition,https://www.instagram.com/alaninutrition/p/DWzCK0_ES9s/,2026-04-06,51000.0,1171.0,"Consider this your invite bestie... We’re celebrating 8 years of Alani with a FREE* Energy 6PK, from us to you! 🎂💖

The party starts TOMORROW, 4.07 at 12PM EDT on our site –– see you there 🤭

*Only Pay Shipping & Tax. While Supplies Last or until 11:59 am EDT on 4.8.  Limit 1 per household. Additional terms and exclusions apply: alaninu.com/pages/faq",
Bang,bangenergy,https://www.instagram.com/bangenergy/p/DW6rYWeksN4/,2026-04-02,144.0,14.0,"Stay strong out there friends, festival season is here🕺🪩",
Bang,bangenergy,https://www.instagram.com/bangenergy/p/DXKILUNAexI/,2026-04-02,435.0,52.0,"*CLOSED*

🚨ALL THIS COULD BE YOURS🚨

Enter to win 👉a Year Supply of Lime Pop Drop

How to enter👉click the link in bio

*18+ U.S. Only.*",
Bang,bangenergy,https://www.instagram.com/bangenergy/reel/DXpBtK3ynGu/,2026-04-02,66.0,8.0,You can count on us to be there when things get tough.,
Bang,bangenergy,https://www.instagram.com/bangenergy/reel/DW_6kD1DkdF/,2026-04-11,274.0,14.0,"Never let them know your next move…🤫

Also can someone lmk if it’s a street dog or a glizzy? Thx.👇",
Bang,bangenergy,https://www.instagram.com/modelvolleyball/reel/DXSTmC3kRFQ/,2026-04-18,192.0,8.0,ALL the vibes with @bangenergy ⚡️,
Bang,bangenergy,https://www.instagram.com/bangenergy/reel/DXUkE3tkS4U/,2026-04-19,117.0,13.0,"Miamiiiii, how tf we feelin’ baby⁉️

From the courts to dance floor, @modelvolleyball kept the ✨energy✨and the vibes high",
Bang,bangenergy,https://www.instagram.com/bangenergy/p/DXcgB__GcTR/,2026-04-22,141.0,13.0,"Just had a Bang, ✨hallelujah✨",
Bang,bangenergy,https://www.instagram.com/bangenergy/reel/DXksCl3jhVN/,2026-04-25,235.0,14.0,Tag that one friend that never wants to leave the main stage 💀👇,
