brand,theme,model,n,pct_pos,pct_neg,pct_neu,mean_score
Monster,energy,lexicon,953,35.2,8.7,56.1,0.0789
Monster,taste,lexicon,601,48.3,11.3,40.4,0.1109
Monster,packaging,lexicon,502,32.9,11.8,55.4,0.0552
Monster,sweetness,lexicon,393,41.5,12.0,46.6,0.0885
Monster,health,lexicon,224,40.2,9.8,50.0,0.0815
Monster,crash,lexicon,124,29.0,26.6,44.4,0.0085
Monster,price,lexicon,112,50.9,22.3,26.8,0.1153
NOS,energy,lexicon,87,49.4,5.7,44.8,0.118
NOS,taste,lexicon,60,50.0,6.7,43.3,0.1326
NOS,sweetness,lexicon,42,47.6,11.9,40.5,0.0784
NOS,packaging,lexicon,21,38.1,9.5,52.4,0.0674
NOS,health,lexicon,15,53.3,6.7,40.0,0.0665
NOS,crash,lexicon,8,12.5,37.5,50.0,-0.0286
NOS,price,lexicon,5,60.0,20.0,20.0,0.071
Prime,energy,lexicon,132,26.5,3.0,70.5,0.0811
Prime,taste,lexicon,87,33.3,20.7,46.0,0.039
Prime,packaging,lexicon,79,24.1,10.1,65.8,0.0305
Prime,sweetness,lexicon,39,17.9,17.9,64.1,0.0336
Prime,price,lexicon,23,26.1,30.4,43.5,0.006
Prime,health,lexicon,12,58.3,25.0,16.7,0.0954
Prime,crash,lexicon,8,50.0,12.5,37.5,0.1382
Pureboost,energy,lexicon,8,87.5,0.0,12.5,0.2414
Pureboost,taste,lexicon,6,83.3,0.0,16.7,0.2695
Pureboost,health,lexicon,6,100.0,0.0,0.0,0.2548
Pureboost,sweetness,lexicon,5,80.0,0.0,20.0,0.211
Pureboost,crash,lexicon,4,100.0,0.0,0.0,0.3098
Pureboost,price,lexicon,3,100.0,0.0,0.0,0.3227
Pureboost,packaging,lexicon,3,100.0,0.0,0.0,0.3366
Red Bull,energy,lexicon,641,31.0,12.3,56.6,0.0528
Red Bull,taste,lexicon,568,39.3,13.9,46.8,0.0808
Red Bull,packaging,lexicon,407,24.8,10.1,65.1,0.0431
Red Bull,sweetness,lexicon,350,34.0,16.6,49.4,0.0565
Red Bull,price,lexicon,124,33.1,21.0,46.0,0.0464
Red Bull,health,lexicon,119,47.1,10.1,42.9,0.0919
Red Bull,crash,lexicon,103,24.3,26.2,49.5,0.0093
Reign,energy,lexicon,182,37.4,5.5,57.1,0.0866
Reign,taste,lexicon,134,50.0,7.5,42.5,0.1248
Reign,packaging,lexicon,74,40.5,5.4,54.1,0.1062
Reign,sweetness,lexicon,45,42.2,11.1,46.7,0.0942
Reign,health,lexicon,37,56.8,5.4,37.8,0.1384
Reign,crash,lexicon,18,66.7,16.7,16.7,0.0946
Reign,price,lexicon,14,50.0,7.1,42.9,0.1518
Rockstar,energy,lexicon,184,44.0,8.7,47.3,0.1052
Rockstar,taste,lexicon,173,47.4,13.3,39.3,0.0984
Rockstar,packaging,lexicon,104,41.3,6.7,51.9,0.0744
Rockstar,sweetness,lexicon,84,41.7,11.9,46.4,0.0563
Rockstar,health,lexicon,25,56.0,4.0,40.0,0.0945
Rockstar,price,lexicon,18,55.6,33.3,11.1,0.0706
Rockstar,crash,lexicon,16,18.8,37.5,43.8,-0.027
Spylt,taste,lexicon,8,100.0,0.0,0.0,0.3402
Spylt,energy,lexicon,6,100.0,0.0,0.0,0.3183
Spylt,packaging,lexicon,3,100.0,0.0,0.0,0.1862
Spylt,sweetness,lexicon,2,100.0,0.0,0.0,0.3228
Spylt,health,lexicon,1,100.0,0.0,0.0,0.1499
Spylt,price,lexicon,1,100.0,0.0,0.0,0.1868
Unknown,packaging,lexicon,11211,25.2,6.5,68.2,0.0428
Unknown,energy,lexicon,10974,24.7,7.6,67.7,0.047
Unknown,taste,lexicon,7602,40.4,13.7,45.9,0.0837
Unknown,sweetness,lexicon,5051,25.7,17.9,56.4,0.0173
Unknown,health,lexicon,3993,34.2,9.4,56.4,0.0651
Unknown,crash,lexicon,2516,22.1,20.3,57.6,0.005
Unknown,price,lexicon,2182,39.6,20.8,39.6,0.0491
Xwerks,energy,lexicon,5,80.0,20.0,0.0,0.5345
Xwerks,taste,lexicon,4,75.0,25.0,0.0,0.4172
Xwerks,crash,lexicon,3,100.0,0.0,0.0,0.7952
Xwerks,price,lexicon,3,66.7,33.3,0.0,0.312
