scheme,cluster,month,rev,units,skus,stores,dist_points,stores_active,price_unitvalue,price_index,matched_share,price_index_a,price_index_b,matched_share_a,matched_share_b,units_a,units_b,disc_rate,disc_txn_rate
family,Apple & pear,2019-01,42049.58,19444,6,1521,1835,5148,2.1626,0.93988,1.0,0.93518,0.9457,1.0,1.0,10631,8813,0.6203,0.5071
family,Apple & pear,2019-02,68065.23,31341,5,1653,3159,5939,2.1718,0.98716,1.0,0.98289,0.99158,1.0,1.0,16204,15137,0.603,0.4739
family,Apple & pear,2019-03,111013.96,50143,5,2194,4340,6749,2.2139,1.00749,1.0,1.00469,1.01049,1.0,1.0,25557,24586,0.6008,0.484
family,Apple & pear,2019-04,118046.56,53191,6,2654,4900,7282,2.2193,1.00859,1.0,1.00442,1.01306,1.0,1.0,27214,25977,0.6017,0.4931
family,Apple & pear,2019-05,130600.15,58721,6,3038,5502,7913,2.2241,1.0121,1.0,1.01155,1.01254,1.0,1.0,30032,28689,0.6251,0.5021
family,Apple & pear,2019-06,134455.72,60773,7,3323,6059,8486,2.2124,1.00261,1.0,1.00158,1.00369,1.0,1.0,30843,29930,0.612,0.5024
family,Apple & pear,2019-07,143690.41,65051,8,3585,6605,9021,2.2089,0.99453,1.0,0.99413,0.99457,1.0,1.0,33453,31598,0.6127,0.4948
family,Apple & pear,2019-08,149857.64,67296,7,3795,6996,9456,2.2268,0.99767,1.0,0.99907,0.99626,1.0,1.0,34403,32893,0.6132,0.4999
family,Apple & pear,2019-09,147561.38,65985,9,3934,7237,9882,2.2363,1.00008,1.0,1.0005,0.99996,1.0,1.0,33608,32377,0.6331,0.498
family,Apple & pear,2019-10,157672.91,70715,10,4124,7521,10296,2.2297,0.99684,1.0,1.00099,0.9934,1.0,1.0,35960,34755,0.6272,0.504
family,Apple & pear,2019-11,151453.38,68028,9,4245,7705,10820,2.2263,0.99602,1.0,1.00043,0.99229,1.0,1.0,34389,33639,0.6517,0.5128
family,Apple & pear,2019-12,161031.95,72362,10,4376,8002,11318,2.2254,0.9964,1.0,0.99761,0.99633,1.0,1.0,36576,35786,0.6595,0.5139
family,Apple & pear,2020-01,159339.73,71040,11,4606,8238,11799,2.243,1.00331,0.9996,1.00393,1.00356,0.9996,1.0,36059,34981,0.6292,0.5041
family,Apple & pear,2020-02,152060.41,67020,11,4661,8321,12202,2.2689,1.0101,0.9953,1.01443,1.00555,0.9953,0.9953,33450,33570,0.639,0.5049
family,Apple & pear,2020-03,155398.39,68466,11,4650,8268,12679,2.2697,1.00725,0.9932,1.00661,1.00793,0.9932,0.9932,34979,33487,0.663,0.5064
family,Apple & pear,2020-04,147616.36,65055,11,4564,8068,12904,2.2691,1.00377,0.9892,1.00335,1.00348,0.9892,0.9901,33225,31830,0.7195,0.5092
family,Apple & pear,2020-05,169393.65,74137,11,4844,8505,13132,2.2849,1.00247,0.9761,1.00896,0.99641,0.9761,0.9761,36953,37184,0.6532,0.4862
family,Apple & pear,2020-06,176881.77,77081,12,5043,8642,13369,2.2948,0.99781,0.9135,1.00221,0.99323,0.9143,0.9135,39200,37881,0.635,0.4623
family,Apple & pear,2020-07,179681.79,78266,12,4952,8481,13502,2.2958,0.99773,0.8844,1.00002,0.99537,0.885,0.8844,39709,38557,0.6195,0.4544
family,Apple & pear,2020-08,180545.34,78276,12,4847,8223,13515,2.3065,0.99971,0.8545,1.00796,0.99186,0.855,0.8545,38570,39706,0.6264,0.4398
family,Apple & pear,2020-09,175113.31,76382,11,4759,8046,13545,2.2926,0.99434,0.8527,1.00101,0.98782,0.8527,0.8527,38210,38172,0.5919,0.4509
family,Apple & pear,2020-10,175954.21,76160,11,4724,8009,13548,2.3103,0.99975,0.8368,1.01008,0.98984,0.8368,0.8368,37635,38525,0.579,0.4467
family,Apple & pear,2020-11,151153.03,65339,12,4351,7462,13486,2.3134,0.99197,0.8251,1.0035,0.98151,0.8251,0.8257,32054,33285,0.5894,0.4404
family,Apple & pear,2020-12,150691.0,65405,12,4243,7308,13606,2.304,0.98718,0.825,0.99429,0.97996,0.825,0.825,31613,33792,0.5862,0.4435
family,Apple & pear,2021-01,145393.71,62649,12,4054,7110,13565,2.3208,0.982,0.8028,0.98777,0.97627,0.8028,0.8028,30742,31907,0.5968,0.4154
family,Apple & pear,2021-02,128822.64,54798,13,3669,6658,13620,2.3509,0.99337,0.7684,0.99684,0.99012,0.7684,0.7684,27107,27691,0.5502,0.3983
family,Apple & pear,2021-03,147840.14,61908,14,3411,6708,13673,2.3881,1.00284,0.7006,0.99966,1.00668,0.7006,0.7019,30885,31023,0.52,0.3629
family,Apple & pear,2021-04,142477.06,58758,15,2783,6279,13644,2.4248,1.00576,0.586,1.0102,1.00173,0.586,0.5865,29538,29220,0.4649,0.319
family,Apple & pear,2021-05,142163.35,58802,15,2403,5929,13646,2.4177,0.99739,0.483,1.00558,0.99023,0.483,0.4831,29604,29198,0.4438,0.2994
family,Apple & pear,2021-06,139331.56,57559,15,1948,5529,13617,2.4207,1.00445,0.4253,0.99627,1.01416,0.4253,0.4252,28588,28971,0.4206,0.2894
family,Apple & pear,2021-07,151564.68,61414,15,1654,5438,13586,2.4679,1.00564,0.3936,0.99094,1.02477,0.3936,0.3936,30932,30482,0.3936,0.2577
family,Apple & pear,2021-08,164796.84,66595,15,1295,5372,13716,2.4746,1.01678,0.375,1.01091,1.02385,0.375,0.3748,33977,32618,0.367,0.242
family,Apple & pear,2021-09,174942.15,69907,15,1419,5437,13646,2.5025,1.02043,0.3651,1.03296,1.00629,0.3651,0.3651,35449,34458,0.3583,0.2373
family,Apple & pear,2021-10,186481.47,74182,14,1595,5562,13645,2.5138,1.01315,0.3724,1.02231,1.00467,0.3727,0.3728,37875,36307,0.3787,0.2312
family,Apple & pear,2021-11,173849.55,68528,14,1708,5398,13706,2.5369,1.02531,0.3654,1.05342,0.99883,0.3654,0.366,35045,33483,0.3658,0.229
family,Apple & pear,2021-12,184046.92,71897,14,1863,5597,13811,2.5599,1.04738,0.3615,1.04887,1.04394,0.3615,0.3624,36053,35844,0.3417,0.2207
family,Apple & pear,2022-01,182437.39,70401,15,1945,5601,14035,2.5914,1.07073,0.3507,1.08334,1.0603,0.3509,0.3507,35150,35251,0.346,0.2105
family,Apple & pear,2022-02,196281.19,74579,14,2129,5916,14220,2.6319,1.08525,0.3404,1.08985,1.08221,0.3404,0.3407,37634,36945,0.3321,0.209
family,Apple & pear,2022-03,250201.53,94931,14,2414,6486,14753,2.6356,1.06786,0.3506,1.07147,1.06368,0.3506,0.3506,47331,47600,0.31,0.1969
family,Apple & pear,2022-04,251356.05,95099,15,2594,6728,14920,2.6431,1.10374,0.36,1.08761,1.12606,0.3598,0.361,47328,47771,0.2867,0.1856
family,Apple & pear,2022-05,269906.0,102046,14,2850,7165,15116,2.6449,1.11293,0.3473,1.10531,1.12382,0.3473,0.3475,51844,50202,0.2819,0.1813
family,Apple & pear,2022-06,275049.5,103655,14,3050,7402,15419,2.6535,1.06599,0.3372,1.05517,1.08367,0.3372,0.3375,52652,51003,0.258,0.1734
family,Apple & pear,2022-07,299356.64,112143,15,3250,7694,15430,2.6694,1.114,0.3262,1.12406,1.09385,0.3263,0.3262,57313,54830,0.3098,0.183
family,Apple & pear,2022-08,318767.83,118665,13,3407,7969,15537,2.6863,1.127,0.3312,1.18607,1.04334,0.3312,0.3315,60812,57853,0.2774,0.1856
family,Apple & pear,2022-09,316346.34,117451,14,3461,8039,15553,2.6934,1.15158,0.3341,1.1342,1.14452,0.3342,0.3338,59646,57805,0.2678,0.1838
family,Apple & pear,2022-10,410748.92,151083,14,6392,13763,15676,2.7187,1.12121,0.3622,1.1806,1.05853,0.3622,0.3622,76760,74323,0.304,0.1953
family,Apple & pear,2022-11,987819.02,369895,13,10596,26793,15767,2.6705,1.15634,0.1773,1.17969,1.13011,0.1773,0.1773,189063,180832,0.2948,0.2113
family,Apple & pear,2022-12,1023444.23,383920,12,11377,28807,15848,2.6658,1.11694,0.1865,1.06472,1.1696,0.1865,0.1864,195245,188675,0.3011,0.2214
family,Apple & pear,2023-01,880021.36,333624,13,10183,28782,15667,2.6378,1.0267,0.2354,1.03067,0.97109,0.2355,0.2354,171631,161993,0.3283,0.236
family,Apple & pear,2023-02,736941.11,276642,12,9518,27037,15754,2.6639,0.98922,0.283,0.98666,0.99351,0.283,0.283,141426,135216,0.3479,0.2536
family,Apple & pear,2023-03,857153.1,319578,12,10320,26824,15943,2.6821,1.00805,0.3116,1.01238,1.00108,0.3117,0.3116,163482,156096,0.3511,0.2638
family,Apple & pear,2023-04,872997.38,322563,11,10803,25800,16085,2.7064,1.0127,0.3295,0.9955,1.03428,0.3295,0.3295,163721,158842,0.3525,0.2671
family,Apple & pear,2023-05,949645.97,347903,12,11332,25045,16262,2.7296,1.0623,0.3345,1.0263,1.10242,0.3345,0.3345,177694,170209,0.6519,0.271
family,Apple & pear,2023-06,978692.89,358628,12,11685,24467,16311,2.729,1.06391,0.3333,1.02382,1.09891,0.3333,0.3333,182941,175687,0.3574,0.2787
family,Apple & pear,2023-07,1028594.58,375283,12,11999,24156,16296,2.7409,1.07338,0.328,1.04655,1.11902,0.3281,0.328,190428,184855,0.3463,0.2798
family,Apple & pear,2023-08,1079577.57,392909,12,12275,24060,16348,2.7477,1.08548,0.3336,1.09223,1.07767,0.3336,0.3336,199399,193510,0.3399,0.2769
family,Apple & pear,2023-09,1057681.11,384329,13,12465,23896,16420,2.752,1.09875,0.3364,1.12557,1.06546,0.3364,0.3364,194806,189523,0.3395,0.2806
family,Apple & pear,2023-10,1058966.56,383646,15,12593,24750,16433,2.7603,1.03142,0.3494,1.12619,0.93617,0.3495,0.336,193862,189784,0.3487,0.2896
family,Apple & pear,2023-11,2065729.97,667922,12,12628,35749,16443,3.0928,1.05767,0.6992,1.15392,0.90689,0.6992,0.1595,338548,329374,0.3915,0.3272
family,Apple & pear,2023-12,2107435.23,676712,14,13117,36874,16565,3.1142,1.14094,0.7159,1.11969,1.16005,0.716,0.1501,342720,333992,0.4071,0.3389
family,Apple & pear,2024-01,1593996.8,521249,14,12682,36216,16410,3.058,1.20584,0.6469,1.19329,1.22377,0.647,0.1851,265569,255680,0.3975,0.3296
family,Apple & pear,2024-02,1478159.35,487967,15,12754,36258,16513,3.0292,1.302,0.6123,1.13534,1.42002,0.6125,0.1975,247524,240443,0.398,0.3367
family,Apple & pear,2024-03,1535767.53,508016,12,13056,36854,16734,3.0231,1.10772,0.6037,1.10445,1.11279,0.6038,0.1964,256026,251990,0.4023,0.3391
family,Apple & pear,2024-04,1471520.95,490987,13,13212,36803,16783,2.9971,1.10663,0.5776,1.10056,1.11193,0.5776,0.2084,249926,241061,0.4019,0.3383
family,Apple & pear,2024-05,1322365.61,452251,15,13536,36120,17009,2.924,1.13068,0.5064,1.13615,1.12231,0.5066,0.2377,230179,222072,0.4007,0.3327
family,Apple & pear,2024-06,1102782.55,382406,13,13574,34253,17143,2.8838,1.11317,0.4609,1.11061,1.11818,0.461,0.2489,193848,188558,0.4099,0.3272
family,Apple & pear,2024-07,1020927.06,359444,14,13535,32085,17163,2.8403,1.11873,0.4226,1.12417,1.11014,0.4228,0.2667,181928,177516,0.3962,0.3264
family,Apple & pear,2024-08,993296.0,352112,14,13620,30372,17126,2.821,1.12366,0.3924,1.13014,1.11678,0.3926,0.2805,177262,174850,0.3934,0.3233
family,Apple & pear,2024-09,899166.28,320755,12,13600,28701,17200,2.8033,1.11601,0.3683,1.13335,1.09839,0.3684,0.2893,162246,158509,0.3907,0.3234
family,Apple & pear,2024-10,900301.63,320916,14,13782,27652,17368,2.8054,1.11838,0.352,1.1268,1.11214,0.352,0.3055,162053,158863,0.3845,0.3248
family,Apple & pear,2024-11,786205.26,280409,12,14010,26668,17969,2.8038,1.13068,0.3365,1.14555,1.1133,0.3367,0.3114,141274,139135,0.389,0.3281
family,Apple & pear,2024-12,788729.88,281084,10,14026,26227,17998,2.806,1.12627,0.331,1.1376,1.11411,0.331,0.3141,141750,139334,0.387,0.3317
family,Apple & pear,2025-01,723796.43,256847,12,13863,25510,18098,2.818,1.12983,0.3267,1.14288,1.11713,0.3267,0.3169,128322,128525,0.3791,0.3243
family,Apple & pear,2025-02,698754.45,246508,12,13839,25426,18195,2.8346,1.30047,0.3142,1.14915,1.29901,0.3141,0.3069,123044,123464,0.3807,0.3261
family,Apple & pear,2025-03,817783.73,288363,11,14324,26455,18342,2.836,1.12769,0.3034,1.14273,1.1143,0.3034,0.2987,144717,143646,0.3738,0.3233
family,Apple & pear,2025-04,847495.57,299378,13,14506,26587,18651,2.8309,1.1285,0.2896,1.14014,1.11685,0.2896,0.2866,149710,149668,0.3829,0.3331
family,Apple & pear,2025-05,886285.99,314123,12,14818,26913,18791,2.8215,1.11677,0.2856,1.12066,1.11546,0.2856,0.2839,158770,155353,0.3854,0.3349
family,Apple & pear,2025-06,849946.32,302176,13,14846,26735,18897,2.8128,1.11035,0.2815,1.1073,1.11791,0.2815,0.2804,152680,149496,0.3932,0.3399
family,Apple & pear,2025-07,872333.1,311127,13,15123,26981,19270,2.8038,1.10887,0.279,1.11486,1.10426,0.279,0.278,157352,153775,0.4031,0.344
family,Apple & pear,2025-08,892119.41,318709,13,15324,27299,19396,2.7992,1.10321,0.276,1.10649,1.10224,0.276,0.2753,161540,157169,0.4104,0.3523
family,Apple & pear,2025-09,868720.26,308855,14,15427,27558,19610,2.8127,1.11042,0.2758,1.1197,1.10145,0.2758,0.2753,156433,152422,0.4085,0.3514
family,Apple & pear,2025-10,1621465.5,551448,14,15362,37864,19538,2.9404,1.11541,0.1469,1.12741,1.10398,0.1469,0.1467,277815,273633,0.4782,0.3942
family,Apple & pear,2025-11,1640086.95,549769,14,15295,39288,19953,2.9832,1.10207,0.1254,1.11818,1.08632,0.1254,0.1253,277559,272210,0.4721,0.3947
family,Apple & pear,2025-12,1516390.08,511544,13,15187,38922,20022,2.9643,1.1152,0.1382,1.12667,1.10407,0.1382,0.138,256959,254585,0.495,0.4011
family,Berry,2019-01,757589.12,302624,49,4586,21991,5148,2.5034,0.99596,1.0,0.99761,0.99456,1.0,1.0,159261,143363,0.366,0.2663
family,Berry,2019-02,932728.68,375883,52,5173,30012,5939,2.4814,0.99617,1.0,0.99659,0.99573,1.0,1.0,195999,179884,0.326,0.255
family,Berry,2019-03,1403456.44,561538,56,6062,39519,6749,2.4993,0.99939,1.0,0.99901,0.99961,1.0,1.0,289593,271945,0.3174,0.2506
family,Berry,2019-04,1598064.43,637200,53,6583,45967,7282,2.5079,1.00339,1.0,1.00201,1.00475,1.0,1.0,329885,307315,0.3116,0.2485
family,Berry,2019-05,1834748.38,732554,56,7133,52565,7913,2.5046,1.00447,1.0,1.00397,1.00499,1.0,1.0,375812,356742,0.3213,0.2533
family,Berry,2019-06,1912562.45,767045,58,7664,57290,8486,2.4934,0.99947,1.0,0.99999,0.99906,1.0,1.0,392081,374964,0.3312,0.2653
family,Berry,2019-07,2090429.78,840943,60,8136,62622,9021,2.4858,1.00053,1.0,0.99973,1.00135,1.0,1.0,429061,411882,0.3256,0.2583
family,Berry,2019-08,2293007.52,926927,63,8572,67776,9456,2.4738,1.00047,1.0,1.00056,1.00026,1.0,1.0,473912,453015,0.3396,0.2649
family,Berry,2019-09,2250652.69,909521,61,8970,70621,9882,2.4745,0.9997,1.0,0.99968,0.99969,1.0,1.0,464838,444683,0.3486,0.2706
family,Berry,2019-10,2350408.88,946915,63,9300,73459,10296,2.4822,1.00008,1.0,1.00032,0.99987,1.0,1.0,481520,465395,0.3502,0.2752
family,Berry,2019-11,2260931.47,909972,60,9746,77979,10820,2.4846,0.99994,1.0,1.00009,0.99975,1.0,1.0,461141,448831,0.359,0.2823
family,Berry,2019-12,2330886.78,939384,62,10139,81074,11318,2.4813,0.99904,1.0,1.00042,0.99765,1.0,1.0,474630,464754,0.3629,0.2845
family,Berry,2020-01,2300686.27,927144,63,10524,85049,11799,2.4815,1.00235,0.9931,1.00344,1.00123,0.9931,0.9931,470634,456510,0.3528,0.2753
family,Berry,2020-02,2406223.23,961350,68,10972,91136,12202,2.503,1.00629,0.9682,1.0096,1.00293,0.9683,0.9682,488559,472791,0.3523,0.2752
family,Berry,2020-03,2605645.34,1036986,69,11437,94879,12679,2.5127,1.0062,0.9647,1.00843,1.00394,0.9647,0.9645,528646,508340,0.3695,0.2813
family,Berry,2020-04,2518023.29,996591,72,11519,93515,12904,2.5266,1.00548,0.9642,1.00748,1.00353,0.9643,0.9639,508594,487997,0.3931,0.2956
family,Berry,2020-05,3087500.61,1212671,73,11789,99555,13132,2.546,1.00725,0.9624,1.00975,1.00478,0.9624,0.9625,617163,595508,0.3816,0.2877
family,Berry,2020-06,3341266.58,1308936,77,12029,103093,13369,2.5527,1.00724,0.96,1.00965,1.00503,0.96,0.9598,666149,642787,0.3698,0.2832
family,Berry,2020-07,3500306.22,1364492,75,12256,104402,13502,2.5653,1.00717,0.9604,1.00929,1.00514,0.9604,0.9604,694154,670338,0.3739,0.2862
family,Berry,2020-08,3483855.71,1361147,79,12324,104476,13515,2.5595,1.00589,0.9598,1.00812,1.00364,0.9599,0.9598,695884,665263,0.3818,0.2913
family,Berry,2020-09,3487685.05,1352946,77,12326,103718,13545,2.5778,1.00575,0.9478,1.00736,1.0044,0.9478,0.9476,692416,660530,0.3881,0.2965
family,Berry,2020-10,3598003.23,1394787,79,12334,104274,13548,2.5796,1.00651,0.9345,1.00869,1.00444,0.9345,0.9343,709638,685149,0.3871,0.2979
family,Berry,2020-11,3957104.25,1499075,78,11923,113813,13486,2.6397,1.00285,0.6855,1.00473,1.00115,0.6855,0.6851,763888,735187,0.4041,0.3111
family,Berry,2020-12,3531318.89,1367402,81,11769,110971,13606,2.5825,0.99993,0.7837,1.00282,0.99717,0.7837,0.7836,697186,670216,0.4214,0.3168
family,Berry,2021-01,3142394.85,1236221,84,11477,106716,13565,2.5419,0.99926,0.8673,1.00099,0.99748,0.8674,0.8673,629741,606480,0.418,0.302
family,Berry,2021-02,2951503.18,1155462,80,11776,107928,13620,2.5544,0.99937,0.8355,1.00302,0.99573,0.8355,0.8356,584574,570888,0.421,0.3091
family,Berry,2021-03,3945170.93,1531526,87,12234,120810,13673,2.576,0.99906,0.7792,1.00319,0.99538,0.7792,0.779,776454,755072,0.4108,0.2992
family,Berry,2021-04,4132739.52,1596674,90,12300,120411,13644,2.5883,1.00253,0.7411,1.00691,0.99882,0.7411,0.741,814061,782613,0.4123,0.3003
family,Berry,2021-05,4025931.75,1557743,90,12298,118869,13646,2.5845,1.00039,0.7283,1.0028,0.99846,0.7283,0.7283,791615,766128,0.4053,0.2952
family,Berry,2021-06,3900321.03,1510489,91,12178,116677,13617,2.5822,1.00627,0.7314,1.00867,1.00352,0.7314,0.7312,769410,741079,0.3916,0.282
family,Berry,2021-07,4196460.73,1619875,93,12316,118355,13586,2.5906,1.00655,0.7265,1.01169,1.00169,0.7264,0.7263,829184,790691,0.3937,0.2795
family,Berry,2021-08,4168964.62,1605864,99,12456,119375,13716,2.5961,1.0096,0.7154,1.01086,1.00834,0.7154,0.7152,820043,785821,0.3847,0.278
family,Berry,2021-09,4122560.22,1576828,94,12464,118744,13646,2.6145,1.01032,0.7095,1.01189,1.00905,0.7095,0.7093,805598,771230,0.3804,0.277
family,Berry,2021-10,4281234.85,1625345,101,12531,118279,13645,2.634,1.0129,0.707,1.01555,1.01087,0.707,0.707,825660,799685,0.3844,0.2762
family,Berry,2021-11,3807294.67,1441218,94,12372,115090,13706,2.6417,1.01461,0.6969,1.01575,1.01302,0.6969,0.697,731377,709841,0.3847,0.2778
family,Berry,2021-12,3833039.72,1447750,90,12235,113604,13811,2.6476,1.01608,0.6983,1.01918,1.01285,0.6983,0.6982,738614,709136,0.3881,0.2785
family,Berry,2022-01,3500519.93,1318676,91,11834,112428,14035,2.6546,1.02448,0.6873,1.0261,1.02242,0.6874,0.6872,671921,646755,0.3861,0.2679
family,Berry,2022-02,3561606.1,1337206,92,12007,118472,14220,2.6635,1.02999,0.6631,1.03128,1.02492,0.6631,0.663,682786,654420,0.389,0.2689
family,Berry,2022-03,4193954.67,1564044,96,12369,126044,14753,2.6815,1.03116,0.6424,1.03765,1.02658,0.6425,0.6423,796288,767756,0.3715,0.2622
family,Berry,2022-04,4404948.68,1634959,94,12988,130710,14920,2.6942,1.03993,0.6401,1.04497,1.03296,0.6403,0.6401,833941,801018,0.3666,0.2619
family,Berry,2022-05,5095270.91,1901225,95,13452,142546,15116,2.68,1.03437,0.577,1.03468,1.03332,0.577,0.577,967766,933459,0.3577,0.2555
family,Berry,2022-06,5180298.12,1930436,94,13765,145110,15419,2.6835,1.0366,0.5674,1.03733,1.03939,0.5675,0.5674,983934,946502,0.3525,0.254
family,Berry,2022-07,5541673.5,2056927,95,14064,148139,15430,2.6942,1.04134,0.5719,1.05506,1.03157,0.5719,0.5718,1048011,1008916,0.3489,0.2538
family,Berry,2022-08,5808988.6,2156435,93,14216,150359,15537,2.6938,1.0524,0.5658,1.054,1.04979,0.5658,0.5658,1100755,1055680,0.35,0.2522
family,Berry,2022-09,5765087.23,2079804,91,14311,147761,15553,2.7719,1.08243,0.5894,1.09224,1.07301,0.5895,0.5894,1063530,1016274,0.3516,0.2546
family,Berry,2022-10,5679716.84,2032968,92,14362,149136,15676,2.7938,1.08689,0.6124,1.10159,1.06874,0.6124,0.6123,1041854,991114,0.3567,0.258
family,Berry,2022-11,4744140.23,1697923,94,14202,143410,15767,2.7941,1.0864,0.6195,1.10645,1.07541,0.6196,0.6195,868491,829432,0.3665,0.2619
family,Berry,2022-12,4655660.45,1655744,91,14398,141100,15848,2.8118,1.08262,0.6369,1.10288,1.07223,0.637,0.6369,848475,807269,0.3726,0.2677
family,Berry,2023-01,4803167.29,1744040,95,14306,149748,15667,2.754,1.06256,0.6005,1.07179,1.05266,0.6005,0.6006,893229,850811,0.3551,0.2542
family,Berry,2023-02,5601196.57,2032729,96,14382,170831,15754,2.7555,1.07251,0.4834,1.08055,1.0686,0.4835,0.4834,1043736,988993,0.3659,0.2629
family,Berry,2023-03,7357981.73,2654808,102,14635,188892,15943,2.7716,1.07724,0.4387,1.08474,1.07525,0.4387,0.4387,1354449,1300359,0.3701,0.27
family,Berry,2023-04,7646016.16,2755321,102,14752,197090,16085,2.775,1.05396,0.4312,1.03976,1.06663,0.4312,0.4311,1407391,1347930,0.3678,0.2742
family,Berry,2023-05,11931023.59,4136885,104,14776,229007,16262,2.8841,1.0465,0.2788,1.03817,1.06593,0.2788,0.2788,2118929,2017956,0.8056,0.2879
family,Berry,2023-06,12097227.15,4180781,107,14754,233927,16311,2.8935,1.06988,0.2685,1.08146,1.06644,0.2685,0.2685,2134911,2045870,0.3719,0.2873
family,Berry,2023-07,11421030.4,3957838,103,14833,233948,16296,2.8857,1.08655,0.2961,1.0949,1.07802,0.2961,0.2961,2024416,1933422,0.3608,0.2851
family,Berry,2023-08,10793627.86,3764497,106,14909,232375,16348,2.8672,1.08835,0.3282,1.09226,1.08155,0.3283,0.3282,1925695,1838802,0.369,0.2879
family,Berry,2023-09,10570256.08,3685306,109,15015,235500,16420,2.8682,1.08864,0.3299,1.09377,1.08294,0.33,0.3299,1888063,1797243,0.3752,0.2851
family,Berry,2023-10,10742692.32,3738541,110,15018,234955,16433,2.8735,1.07677,0.3208,1.09638,1.06494,0.3209,0.3208,1910891,1827650,0.3611,0.2828
family,Berry,2023-11,8647201.53,3007516,111,14935,225473,16443,2.8752,1.08293,0.3709,1.1068,1.07613,0.3709,0.3708,1535892,1471624,0.3755,0.2886
family,Berry,2023-12,7848127.78,2740618,114,14837,220000,16565,2.8636,1.1109,0.3878,1.11354,1.10803,0.3879,0.3878,1401941,1338677,0.3935,0.2942
family,Berry,2024-01,9155837.79,3102475,114,14618,239787,16410,2.9511,1.12319,0.2913,1.12239,1.12254,0.2913,0.2913,1582871,1519604,0.3659,0.2926
family,Berry,2024-02,10380465.74,3486807,113,14764,255107,16513,2.9771,1.12694,0.2644,1.12121,1.13167,0.2644,0.2644,1774794,1712013,0.3562,0.2908
family,Berry,2024-03,11407360.07,3816892,113,15068,264747,16734,2.9887,1.12263,0.266,1.12194,1.12375,0.266,0.266,1941147,1875745,0.3581,0.2928
family,Berry,2024-04,11482084.97,3841149,119,15157,266089,16783,2.9892,1.13244,0.27,1.13239,1.12931,0.27,0.27,1956315,1884834,0.3654,0.301
family,Berry,2024-05,11575660.8,3889367,123,15305,270783,17009,2.9762,1.14274,0.2753,1.15554,1.12943,0.2753,0.2752,1976018,1913349,0.3739,0.3074
family,Berry,2024-06,11095853.88,3731238,123,15349,269879,17143,2.9738,1.14422,0.2745,1.15918,1.12313,0.2745,0.2745,1891362,1839876,0.3812,0.309
family,Berry,2024-07,11036830.35,3701189,121,15281,266038,17163,2.982,1.1311,0.2817,1.15293,1.11566,0.2818,0.2817,1874493,1826696,0.3884,0.3136
family,Berry,2024-08,11271096.08,3780832,123,15313,267859,17126,2.9811,1.12884,0.287,1.12887,1.1243,0.2871,0.287,1913196,1867636,0.3903,0.3177
family,Berry,2024-09,10690199.18,3581146,125,15423,267353,17200,2.9851,1.13147,0.2874,1.12218,1.13763,0.2875,0.2874,1815507,1765639,0.382,0.3174
family,Berry,2024-10,11212795.5,3744425,123,15583,269896,17368,2.9945,1.14295,0.288,1.13638,1.14094,0.288,0.288,1896779,1847646,0.3878,0.324
family,Berry,2024-11,10251665.01,3404874,120,16080,270831,17969,3.0109,1.13204,0.2891,1.12973,1.12745,0.2892,0.2891,1724190,1680684,0.3986,0.332
family,Berry,2024-12,10698354.15,3540627,123,16223,270211,17998,3.0216,1.1349,0.294,1.13226,1.13246,0.294,0.294,1796885,1743742,0.4145,0.3389
family,Berry,2025-01,9778172.46,3227684,130,16086,264214,18098,3.0295,1.14795,0.2981,1.15188,1.13523,0.2981,0.2981,1636649,1591035,0.3974,0.3287
family,Berry,2025-02,9410818.92,3099331,132,15948,258642,18195,3.0364,1.15233,0.3015,1.1616,1.13957,0.3015,0.3015,1575960,1523371,0.4044,0.3343
family,Berry,2025-03,10088260.74,3330711,136,15750,262898,18342,3.0289,1.14191,0.2998,1.15729,1.12857,0.2999,0.2998,1694344,1636367,0.4091,0.3378
family,Berry,2025-04,10798480.57,3562155,135,16236,263599,18651,3.0314,1.14418,0.2981,1.14724,1.13672,0.2981,0.2981,1809020,1753135,0.416,0.3465
family,Berry,2025-05,10857466.39,3577034,140,16624,263157,18791,3.0353,1.14036,0.2837,1.15153,1.12986,0.2837,0.2837,1819895,1757139,0.4172,0.347
family,Berry,2025-06,10560501.05,3473695,138,17004,261643,18897,3.0401,1.13833,0.2836,1.13668,1.1347,0.2836,0.2836,1762852,1710843,0.4143,0.3465
family,Berry,2025-07,10816680.8,3558863,140,17430,265012,19270,3.0394,1.14261,0.2826,1.14817,1.13369,0.2826,0.2825,1811777,1747086,0.4138,0.3436
family,Berry,2025-08,11178807.23,3675085,137,17621,266770,19396,3.0418,1.14552,0.2858,1.15844,1.13413,0.2858,0.2858,1866127,1808958,0.4214,0.3489
family,Berry,2025-09,10922395.18,3577750,132,17814,265938,19610,3.0529,1.14628,0.2855,1.15398,1.13526,0.2855,0.2855,1812035,1765715,0.4147,0.3458
family,Berry,2025-10,10858636.84,3553005,133,17943,265541,19538,3.0562,1.15528,0.2865,1.16365,1.14606,0.2865,0.2865,1797910,1755095,0.4218,0.3539
family,Berry,2025-11,9025778.75,2951036,124,18110,260472,19953,3.0585,1.15176,0.2886,1.16148,1.14264,0.2886,0.2886,1492638,1458398,0.4277,0.3548
family,Berry,2025-12,8931513.5,2937579,124,18162,260834,20022,3.0404,1.14866,0.2576,1.13913,1.14391,0.2576,0.2575,1483234,1454345,0.4516,0.3665
