family,month,mentions_12m,videos_12m,soc_share
Tropical,2024-07,19,300,0.094059
Citrus,2024-07,21,300,0.10396
Grape,2024-07,4,300,0.019802
Apple & pear,2024-07,17,300,0.084158
Peach & stone fruit,2024-07,9,300,0.044554
Tea & botanical,2024-07,35,300,0.173267
Punch & mixed fruit,2024-07,12,300,0.059406
Watermelon,2024-08,6,296,0.028436
Coffee & cream,2024-08,29,296,0.137441
Sour & candy,2024-08,15,296,0.07109
Cola & soda,2024-08,15,296,0.07109
Berry,2024-08,22,296,0.104265
Tropical,2024-08,20,296,0.094787
Citrus,2024-08,21,296,0.099526
Grape,2024-08,4,296,0.018957
Apple & pear,2024-08,19,296,0.090047
Peach & stone fruit,2024-08,9,296,0.042654
Tea & botanical,2024-08,37,296,0.175355
Punch & mixed fruit,2024-08,14,296,0.066351
Watermelon,2024-09,6,295,0.027273
Coffee & cream,2024-09,30,295,0.136364
Sour & candy,2024-09,13,295,0.059091
Cola & soda,2024-09,15,295,0.068182
Berry,2024-09,19,295,0.086364
Tropical,2024-09,22,295,0.1
Citrus,2024-09,23,295,0.104545
Grape,2024-09,5,295,0.022727
Apple & pear,2024-09,21,295,0.095455
Peach & stone fruit,2024-09,9,295,0.040909
Tea & botanical,2024-09,43,295,0.195455
Punch & mixed fruit,2024-09,14,295,0.063636
Watermelon,2024-10,6,304,0.025862
Coffee & cream,2024-10,33,304,0.142241
Sour & candy,2024-10,12,304,0.051724
Cola & soda,2024-10,15,304,0.064655
Berry,2024-10,20,304,0.086207
Tropical,2024-10,25,304,0.107759
Citrus,2024-10,24,304,0.103448
Grape,2024-10,8,304,0.034483
Apple & pear,2024-10,21,304,0.090517
Peach & stone fruit,2024-10,10,304,0.043103
Tea & botanical,2024-10,45,304,0.193966
Punch & mixed fruit,2024-10,13,304,0.056034
Watermelon,2024-11,8,298,0.033058
Coffee & cream,2024-11,32,298,0.132231
Sour & candy,2024-11,12,298,0.049587
Cola & soda,2024-11,15,298,0.061983
Berry,2024-11,20,298,0.082645
Tropical,2024-11,29,298,0.119835
Citrus,2024-11,22,298,0.090909
Grape,2024-11,9,298,0.03719
Apple & pear,2024-11,23,298,0.095041
Peach & stone fruit,2024-11,12,298,0.049587
Tea & botanical,2024-11,47,298,0.194215
Punch & mixed fruit,2024-11,13,298,0.053719
Watermelon,2024-12,7,297,0.027778
Coffee & cream,2024-12,37,297,0.146825
Sour & candy,2024-12,12,297,0.047619
Cola & soda,2024-12,18,297,0.071429
Berry,2024-12,21,297,0.083333
Tropical,2024-12,29,297,0.115079
Citrus,2024-12,22,297,0.087302
Grape,2024-12,8,297,0.031746
Apple & pear,2024-12,22,297,0.087302
Peach & stone fruit,2024-12,12,297,0.047619
Tea & botanical,2024-12,51,297,0.202381
Punch & mixed fruit,2024-12,13,297,0.051587
Watermelon,2025-01,9,316,0.032847
Coffee & cream,2025-01,42,316,0.153285
Sour & candy,2025-01,10,316,0.036496
Cola & soda,2025-01,19,316,0.069343
Berry,2025-01,26,316,0.094891
Tropical,2025-01,30,316,0.109489
Citrus,2025-01,25,316,0.091241
Grape,2025-01,8,316,0.029197
Apple & pear,2025-01,21,316,0.076642
Peach & stone fruit,2025-01,13,316,0.047445
Tea & botanical,2025-01,57,316,0.208029
Punch & mixed fruit,2025-01,14,316,0.051095
Watermelon,2025-02,11,325,0.036789
Coffee & cream,2025-02,44,325,0.147157
Sour & candy,2025-02,14,325,0.046823
Cola & soda,2025-02,18,325,0.060201
Berry,2025-02,32,325,0.107023
Tropical,2025-02,36,325,0.120401
Citrus,2025-02,30,325,0.100334
Grape,2025-02,9,325,0.0301
Apple & pear,2025-02,18,325,0.060201
Peach & stone fruit,2025-02,14,325,0.046823
Tea & botanical,2025-02,59,325,0.197324
Punch & mixed fruit,2025-02,14,325,0.046823
Watermelon,2025-03,12,345,0.037152
Coffee & cream,2025-03,45,345,0.139319
Sour & candy,2025-03,15,345,0.04644
Cola & soda,2025-03,19,345,0.058824
Berry,2025-03,35,345,0.108359
Tropical,2025-03,40,345,0.123839
Citrus,2025-03,34,345,0.105263
Grape,2025-03,10,345,0.03096
Apple & pear,2025-03,18,345,0.055728
Peach & stone fruit,2025-03,18,345,0.055728
Tea & botanical,2025-03,65,345,0.201238
Punch & mixed fruit,2025-03,12,345,0.037152
Watermelon,2025-04,11,347,0.035032
Coffee & cream,2025-04,44,347,0.140127
Sour & candy,2025-04,13,347,0.041401
Cola & soda,2025-04,20,347,0.063694
Berry,2025-04,36,347,0.11465
Tropical,2025-04,37,347,0.117834
Citrus,2025-04,35,347,0.111465
Grape,2025-04,10,347,0.031847
Apple & pear,2025-04,16,347,0.050955
Peach & stone fruit,2025-04,18,347,0.057325
Tea & botanical,2025-04,64,347,0.203822
Punch & mixed fruit,2025-04,10,347,0.031847
Watermelon,2025-05,12,357,0.037037
Coffee & cream,2025-05,42,357,0.12963
Sour & candy,2025-05,16,357,0.049383
Cola & soda,2025-05,20,357,0.061728
Berry,2025-05,40,357,0.123457
Tropical,2025-05,36,357,0.111111
Citrus,2025-05,37,357,0.114198
Grape,2025-05,10,357,0.030864
Apple & pear,2025-05,20,357,0.061728
Peach & stone fruit,2025-05,18,357,0.055556
Tea & botanical,2025-05,63,357,0.194444
Punch & mixed fruit,2025-05,10,357,0.030864
Watermelon,2025-06,11,373,0.032934
Coffee & cream,2025-06,44,373,0.131737
Sour & candy,2025-06,18,373,0.053892
Cola & soda,2025-06,19,373,0.056886
Berry,2025-06,40,373,0.11976
Tropical,2025-06,36,373,0.107784
Citrus,2025-06,37,373,0.110778
Grape,2025-06,10,373,0.02994
Apple & pear,2025-06,23,373,0.068862
Peach & stone fruit,2025-06,18,373,0.053892
Tea & botanical,2025-06,68,373,0.203593
Punch & mixed fruit,2025-06,10,373,0.02994
Watermelon,2025-07,11,376,0.034056
Coffee & cream,2025-07,41,376,0.126935
Sour & candy,2025-07,17,376,0.052632
Cola & soda,2025-07,19,376,0.058824
Berry,2025-07,38,376,0.117647
Tropical,2025-07,38,376,0.117647
Citrus,2025-07,35,376,0.108359
Grape,2025-07,9,376,0.027864
Apple & pear,2025-07,25,376,0.077399
Peach & stone fruit,2025-07,16,376,0.049536
Tea & botanical,2025-07,64,376,0.198142
Punch & mixed fruit,2025-07,10,376,0.03096
Watermelon,2025-08,10,405,0.030395
Coffee & cream,2025-08,49,405,0.148936
Sour & candy,2025-08,17,405,0.051672
Cola & soda,2025-08,21,405,0.06383
Berry,2025-08,38,405,0.115502
Tropical,2025-08,40,405,0.121581
Citrus,2025-08,31,405,0.094225
Grape,2025-08,9,405,0.027356
Apple & pear,2025-08,23,405,0.069909
Peach & stone fruit,2025-08,15,405,0.045593
Tea & botanical,2025-08,68,405,0.206687
Punch & mixed fruit,2025-08,8,405,0.024316
Watermelon,2025-09,10,439,0.029499
Coffee & cream,2025-09,50,439,0.147493
Sour & candy,2025-09,19,439,0.056047
Cola & soda,2025-09,23,439,0.067847
Berry,2025-09,39,439,0.115044
Tropical,2025-09,44,439,0.129794
Citrus,2025-09,28,439,0.082596
Grape,2025-09,7,439,0.020649
Apple & pear,2025-09,23,439,0.067847
Peach & stone fruit,2025-09,17,439,0.050147
Tea & botanical,2025-09,71,439,0.20944
Punch & mixed fruit,2025-09,8,439,0.023599
Watermelon,2025-10,11,462,0.031073
Coffee & cream,2025-10,53,462,0.149718
Sour & candy,2025-10,19,462,0.053672
Cola & soda,2025-10,26,462,0.073446
Berry,2025-10,41,462,0.115819
Tropical,2025-10,47,462,0.132768
Citrus,2025-10,30,462,0.084746
Grape,2025-10,5,462,0.014124
Apple & pear,2025-10,24,462,0.067797
Peach & stone fruit,2025-10,16,462,0.045198
Tea & botanical,2025-10,73,462,0.206215
Punch & mixed fruit,2025-10,9,462,0.025424
Watermelon,2025-11,11,471,0.03022
Coffee & cream,2025-11,58,471,0.159341
Sour & candy,2025-11,21,471,0.057692
Cola & soda,2025-11,29,471,0.07967
Berry,2025-11,42,471,0.115385
Tropical,2025-11,44,471,0.120879
Citrus,2025-11,30,471,0.082418
Grape,2025-11,6,471,0.016484
Apple & pear,2025-11,25,471,0.068681
Peach & stone fruit,2025-11,16,471,0.043956
Tea & botanical,2025-11,74,471,0.203297
Punch & mixed fruit,2025-11,8,471,0.021978
Watermelon,2025-12,11,476,0.031339
Coffee & cream,2025-12,56,476,0.159544
Sour & candy,2025-12,22,476,0.062678
Cola & soda,2025-12,26,476,0.074074
Berry,2025-12,40,476,0.11396
Tropical,2025-12,43,476,0.122507
Citrus,2025-12,28,476,0.079772
Grape,2025-12,6,476,0.017094
Apple & pear,2025-12,25,476,0.071225
Peach & stone fruit,2025-12,15,476,0.042735
Tea & botanical,2025-12,70,476,0.19943
Punch & mixed fruit,2025-12,9,476,0.025641
