family,month,mentions_12m,videos_12m,soc_share
Coffee & cream,2020-11,37,186,0.193717
Sour & candy,2020-11,17,186,0.089005
Cola & soda,2020-11,13,186,0.068063
Berry,2020-11,24,186,0.125654
Tropical,2020-11,21,186,0.109948
Citrus,2020-11,22,186,0.115183
Grape,2020-11,2,186,0.010471
Apple & pear,2020-11,14,186,0.073298
Peach & stone fruit,2020-11,8,186,0.041885
Tea & botanical,2020-11,25,186,0.13089
Punch & mixed fruit,2020-11,3,186,0.015707
Watermelon,2020-12,6,193,0.03125
Coffee & cream,2020-12,36,193,0.1875
Sour & candy,2020-12,18,193,0.09375
Cola & soda,2020-12,12,193,0.0625
Berry,2020-12,25,193,0.130208
Tropical,2020-12,20,193,0.104167
Citrus,2020-12,22,193,0.114583
Grape,2020-12,2,193,0.010417
Apple & pear,2020-12,15,193,0.078125
Peach & stone fruit,2020-12,8,193,0.041667
Tea & botanical,2020-12,25,193,0.130208
Punch & mixed fruit,2020-12,3,193,0.015625
Watermelon,2021-01,7,195,0.036842
Coffee & cream,2021-01,36,195,0.189474
Sour & candy,2021-01,19,195,0.1
Cola & soda,2021-01,9,195,0.047368
Berry,2021-01,23,195,0.121053
Tropical,2021-01,19,195,0.1
Citrus,2021-01,21,195,0.110526
Grape,2021-01,1,195,0.005263
Apple & pear,2021-01,17,195,0.089474
Peach & stone fruit,2021-01,8,195,0.042105
Tea & botanical,2021-01,27,195,0.142105
Punch & mixed fruit,2021-01,3,195,0.015789
Watermelon,2021-02,9,203,0.04712
Coffee & cream,2021-02,37,203,0.193717
Sour & candy,2021-02,19,203,0.099476
Cola & soda,2021-02,7,203,0.036649
Berry,2021-02,22,203,0.115183
Tropical,2021-02,20,203,0.104712
Citrus,2021-02,21,203,0.109948
Grape,2021-02,1,203,0.005236
Apple & pear,2021-02,16,203,0.08377
Peach & stone fruit,2021-02,8,203,0.041885
Tea & botanical,2021-02,29,203,0.151832
Punch & mixed fruit,2021-02,2,203,0.010471
Watermelon,2021-03,10,210,0.047619
Coffee & cream,2021-03,39,210,0.185714
Sour & candy,2021-03,22,210,0.104762
Cola & soda,2021-03,11,210,0.052381
Berry,2021-03,24,210,0.114286
Tropical,2021-03,24,210,0.114286
Citrus,2021-03,22,210,0.104762
Grape,2021-03,1,210,0.004762
Apple & pear,2021-03,18,210,0.085714
Peach & stone fruit,2021-03,9,210,0.042857
Tea & botanical,2021-03,28,210,0.133333
Punch & mixed fruit,2021-03,2,210,0.009524
Watermelon,2021-04,11,223,0.04955
Coffee & cream,2021-04,38,223,0.171171
Sour & candy,2021-04,22,223,0.099099
Cola & soda,2021-04,11,223,0.04955
Berry,2021-04,28,223,0.126126
Tropical,2021-04,28,223,0.126126
Citrus,2021-04,23,223,0.103604
Grape,2021-04,1,223,0.004505
Apple & pear,2021-04,18,223,0.081081
Peach & stone fruit,2021-04,9,223,0.040541
Tea & botanical,2021-04,31,223,0.13964
Punch & mixed fruit,2021-04,2,223,0.009009
Watermelon,2021-05,10,228,0.044444
Coffee & cream,2021-05,41,228,0.182222
Sour & candy,2021-05,21,228,0.093333
Cola & soda,2021-05,11,228,0.048889
Berry,2021-05,28,228,0.124444
Tropical,2021-05,28,228,0.124444
Citrus,2021-05,21,228,0.093333
Grape,2021-05,2,228,0.008889
